round,fedavg_auroc,fedavg_auprc,fedavg_loss,fedprox_auroc,fedprox_auprc,fedprox_loss
1,0.916637346066851,0.8445026121368172,0.8057903886139393,0.9128424227192763,0.8418315557094291,0.8006793483793736
2,0.9402990701181202,0.873710392484795,0.44121108816564086,0.9462553405378236,0.894574017234612,0.39450452822446824
3,0.9548378989695903,0.9081332419019257,0.3522322265207768,0.9542472983161597,0.9083144013614133,0.32499189360439773
4,0.951093239507414,0.8940909829802193,0.3041673137992621,0.9453003267152551,0.8916607245831808,0.2625750214755535
5,0.9293918069866801,0.862119294681981,0.269502219773829,0.95485046494094,0.8999459238704828,0.25226760062575343
6,0.9346318170394573,0.8780545932523757,0.25138124422729013,0.9554410655943705,0.9068769429741357,0.23709973311424254
7,0.9398843930635838,0.8743128308101702,0.25078004383295777,0.9546996732847449,0.9051916086694467,0.21755744858086107
8,0.9453505906006535,0.8816162643809382,0.23620884448662402,0.9525634581553154,0.8993863691842752,0.234890144020319
9,0.9436667504398089,0.8827414208708221,0.22920061728358268,0.9496732847449108,0.901172914085561,0.2298551631681621
10,0.9394068861522996,0.8751966333630234,0.2223707463517785,0.9520985172153806,0.9013029434003927,0.20699273731559517
11,0.9507665242523248,0.8869901577366571,0.21334240375459196,0.9500251319426992,0.8951861642204959,0.20510797202587128
12,0.9466700175923599,0.8808231674619816,0.21339394595846534,0.955302839909525,0.9037374533784691,0.21926699912361802
13,0.9461422467956773,0.8884155491399887,0.22578516394272446,0.9583815028901735,0.9125880931852022,0.18697849535942077
14,0.936089469716009,0.8679681758787532,0.1846011828817427,0.958972103543604,0.909905020410108,0.1888337118644267
15,0.9509173159085197,0.897088274672709,0.18892305548861624,0.95787886403619,0.9090357191461763,0.18566066555678845
16,0.9466260366926363,0.8846174438698325,0.19152747300826015,0.9523372706710229,0.8995401616250565,0.16698002483323215
17,0.9401357124905755,0.882148727203353,0.19248852590471505,0.9573133953254586,0.9110715942487202,0.1630060489401221
18,0.9494093993465694,0.8915704521475502,0.18462277112528683,0.9567102287006786,0.914629436605434,0.14700084691494703
19,0.9402739381754209,0.8857222388946532,0.1841356662493199,0.9457150037697913,0.8917705976266513,0.15878287291154267
20,0.9515707464186981,0.8992612654179359,0.1723588763177395,0.9505529027393816,0.899443093980252,0.1735512117408216
21,0.9503769791404876,0.8939156199762783,0.15752643833309413,0.9529027393817543,0.9002313223543946,0.1380841412069276
22,0.9526137220407137,0.8984903502917526,0.1655347060188651,0.9611460165870822,0.9136614633321394,0.16392856061086059
23,0.9445966323196783,0.885988280733739,0.18456226574024184,0.9577406383513446,0.905606632350912,0.13355037365783937
24,0.9449987434028649,0.8919505341504838,0.15434080704022196,0.9522367429002262,0.8933496912891838,0.14768347612768412
25,0.9418949484795174,0.8878451303329788,0.16002366139646623,0.9574767529530032,0.9055480375729313,0.1419299054723233
26,0.9478135209851721,0.8980327412612191,0.14815367578901348,0.9586579542598643,0.9120668885169637,0.15116068034805358
27,0.9515833123900477,0.8945165200492387,0.18251119875814764,0.9584443327469212,0.9118589326964257,0.1472704354925081
28,0.9429442070872078,0.8772634949218268,0.16210882109962405,0.9641241517969339,0.922503428644897,0.12562335945712402
29,0.9478512188992209,0.8883072575564945,0.16825445080036297,0.9585071626036692,0.904037397636177,0.1600022127525881
30,0.9469967328474491,0.8894503232877198,0.14776043742010372,0.9630057803468208,0.9191455328227096,0.11561092291795647
31,0.949786378487057,0.8890482921358377,0.14610567123699003,0.9577029404372958,0.9096467153003391,0.10692260289797559
32,0.9532545865795427,0.9002280006972031,0.14434218229260296,0.9550766524252324,0.9014470967418405,0.12605145432800055
33,0.9452374968585072,0.8833704153422446,0.15160338804591447,0.9613847700427243,0.9152235413041685,0.11087038474250585
34,0.9492586076903744,0.8942046418947346,0.15188771734572948,0.9584443327469212,0.9100093736164993,0.10595655239466577
35,0.9450238753455642,0.8849338551768128,0.1504779581166804,0.9617366172405126,0.9147279101368762,0.12674815704952924
36,0.9504900728826338,0.8982883523377293,0.1142238948880695,0.9574641869816537,0.9037738011065344,0.13761304808501154
37,0.9465820557929128,0.8905849199671104,0.15921628624992445,0.9570118120130687,0.9064382303329162,0.1336632745875977
38,0.9444207087207841,0.8796579982204819,0.14839621451357382,0.9529907011812012,0.8973749686516627,0.12659703668660952
39,0.9518346318170394,0.8965200750158497,0.12831626755208708,0.9572631314400603,0.911508708119043,0.1099317347276956
40,0.9502261874842926,0.8889986716518606,0.13996799456048756,0.9547248052274442,0.901732447943927,0.12064585889177397
41,0.9409901985423473,0.8792237653671356,0.11782106826151721,0.958155315405881,0.9119296348346768,0.1299509828663431
42,0.9416687609952249,0.8862441171754712,0.12491171219060197,0.958695652173913,0.9073003729523218,0.13875384694850074
43,0.9432143754712239,0.8870071598306914,0.14604068863671274,0.9573385272681578,0.904505657069199,0.09958533180132509
44,0.946091982910279,0.889898575934223,0.11901893194811419,0.9546996732847449,0.9023099148712087,0.10214695852715523
45,0.93211862276954,0.8666373954749816,0.12735049115028232,0.9600150791656195,0.9131756986883109,0.11070441837841645
46,0.9421651168635335,0.8787896536026797,0.14287381839798763,0.9551394822819803,0.9069631195829546,0.10598836112488061
47,0.943968333752199,0.8842449908396872,0.1313607884119265,0.9572254335260115,0.9088608047259742,0.1047039991710335
48,0.9459537572254335,0.8830038422047832,0.12911208380083553,0.9556421211359638,0.9069029998957576,0.11361071470053867
49,0.9411409901985424,0.8886367419248871,0.13140212614974006,0.9560191002764514,0.9041848125251928,0.10267534587206317
50,0.9451369690877104,0.8896852281835708,0.11576731816888786,0.955667253078663,0.90964226122494,0.09621679281885735
