iter	Passed	Remaining
414	3405	779
415	3412	771
416	3420	762
417	3427	754
418	3434	745
419	3441	737
420	3449	729
421	3457	720
422	3464	712
423	3471	704
424	3479	695
425	3486	687
426	3494	679
427	3502	671
428	3510	662
429	3518	654
430	3525	646
431	3533	637
432	3541	629
433	3548	621
434	3556	613
435	3564	605
436	3573	596
437	3580	588
438	3588	580
439	3596	572
440	3603	563
441	3611	555
442	3619	547
443	3627	539
444	3635	530
445	3642	522
446	3649	514
447	3658	506
448	3665	498
449	3673	489
450	3680	481
451	3688	473
452	3695	465
