iter	Logloss
0	0.6224670234
1	0.5625429205
2	0.5091456585
3	0.4618421298
4	0.419078908
5	0.3855246586
6	0.3542451934
7	0.3277170215
8	0.3038213542
9	0.2834086705
10	0.2646973179
11	0.2509221253
12	0.2372929093
13	0.2244427734
14	0.2131364114
15	0.203607681
16	0.1950669734
17	0.1874937549
18	0.1797518036
19	0.1731375275
20	0.1675185605
21	0.1618731194
22	0.1572664714
23	0.1527701416
24	0.1488201778
25	0.1441661532
26	0.1405189012
27	0.1373860206
28	0.1339688376
29	0.1310674102
30	0.1279635653
31	0.1255388395
32	0.1232470984
33	0.1211123803
34	0.1192995471
35	0.1174752106
36	0.1151853649
37	0.1133865497
38	0.1119217442
39	0.1104421401
40	0.1092352544
41	0.1078727343
42	0.1063152448
43	0.1051730992
44	0.1036112431
45	0.1025120436
46	0.101413992
47	0.100707389
48	0.09956320679
49	0.09843643366
50	0.09733587436
51	0.09653308068
52	0.0959683379
53	0.09471915596
54	0.09377425613
55	0.09311740819
56	0.09224160779
57	0.09162022987
58	0.09053828292
59	0.08963055867
60	0.08882211881
61	0.0880280445
62	0.08770287001
63	0.08716993036
64	0.08657027758
65	0.08585095995
66	0.08529999563
67	0.08470766281
68	0.0842783352
69	0.08336685328
70	0.08304792782
71	0.08256329937
72	0.08205571766
73	0.08170722411
74	0.08083861352
75	0.08027649082
76	0.07991615174
77	0.07953332674
78	0.07950928188
79	0.07882618055
80	0.07859537179
81	0.07833266475
82	0.0777986474
83	0.07729368335
84	0.0766888904
85	0.07611158174
86	0.07555968214
87	0.07538628348
88	0.0749575448
89	0.07450803051
90	0.07425439257
91	0.07421588434
92	0.07393428147
93	0.07361785212
94	0.07326261184
95	0.07279056946
96	0.07256702503
97	0.07252905713
98	0.07209472487
99	0.07177969993
100	0.07176308815
101	0.07125317017
102	0.07107686525
103	0.07100992392
104	0.07098375757
105	0.07096704695
106	0.07056057527
107	0.07014845656
108	0.07000733253
109	0.06998848038
110	0.06940241538
111	0.06920055607
112	0.06918447803
113	0.06870313769
114	0.06868238121
115	0.06838867369
116	0.06787963246
117	0.06736070052
118	0.06693114012
119	0.06646883022
120	0.06642535362
121	0.06605381836
122	0.06583445776
123	0.06547612134
124	0.06473329584
125	0.06467158648
126	0.06432747649
127	0.06411763789
128	0.06385917023
129	0.06362405526
130	0.06318294962
131	0.0630259713
132	0.06301253559
133	0.06263945872
134	0.06231404944
135	0.06229977688
136	0.06207347108
137	0.06178394771
138	0.06147796381
139	0.06116546299
140	0.06094836992
141	0.06031814339
142	0.06016325969
143	0.05983341609
144	0.05958758024
145	0.05957320884
146	0.0591016742
147	0.05853350627
148	0.0583233646
149	0.0583122088
150	0.05798950146
151	0.0578485287
152	0.05759234097
153	0.05746814472
154	0.05719469282
155	0.05718129665
156	0.05699471204
157	0.05697810026
158	0.05677970778
159	0.05659568008
160	0.05640284904
161	0.05623135392
162	0.05598695419
163	0.05580577974
164	0.05558800761
165	0.05542267392
166	0.05525067185
167	0.05523520992
168	0.05496825157
169	0.05468595342
170	0.0544288857
171	0.05425370456
172	0.05408604159
173	0.05389598798
174	0.05376577858
175	0.05360735716
176	0.05337294069
177	0.05314934064
178	0.05295389691
179	0.0521995862
180	0.05218855231
181	0.05206020141
182	0.05172397893
183	0.05105563659
184	0.05104568664
185	0.05091545784
186	0.05063078725
187	0.05042611217
188	0.05041686729
189	0.05030581681
190	0.05014013363
191	0.04952984354
192	0.04933024521
193	0.04921835455
194	0.04920721853
195	0.04902674227
196	0.04870387678
197	0.04857553581
198	0.04838907343
199	0.04837687323
200	0.04816407309
201	0.04813532992
202	0.04796641822
203	0.04780199062
204	0.04757272702
205	0.0474485472
206	0.04728471894
207	0.04708350294
208	0.04662398402
209	0.0466150686
210	0.04654122787
211	0.04648681286
212	0.04643329407
213	0.04626902756
214	0.04622690836
215	0.04603596847
216	0.04595144016
217	0.04594591828
218	0.04594109487
219	0.04593564547
220	0.0458764434
221	0.04580352223
222	0.045629886
223	0.04550072135
224	0.04540588395
225	0.04531990927
226	0.04523383246
227	0.0452233949
228	0.04514266206
229	0.04497466633
230	0.04485789958
231	0.04481770083
232	0.04467121607
233	0.04440663678
234	0.04439896676
235	0.04439258167
236	0.04422257616
237	0.04419274614
238	0.04404992835
239	0.04404674897
240	0.04394979641
