iter	Logloss
0	0.6514627912
1	0.6132675746
2	0.5780996499
3	0.5475301347
4	0.5199088851
5	0.4908834884
6	0.4658797662
7	0.4416940459
8	0.4230796859
9	0.404469021
10	0.384840719
11	0.3692076343
12	0.3556325368
13	0.3414906564
14	0.3297533657
15	0.3205043716
16	0.3098111752
17	0.3001247277
18	0.2928915223
19	0.2861233606
20	0.2773021633
21	0.2711420466
22	0.2640183893
23	0.2584898186
24	0.2539739828
25	0.2497567623
26	0.2450176179
27	0.2397787202
28	0.2361794476
29	0.2326967439
30	0.2282939789
31	0.2252040669
32	0.2220269992
33	0.2187206022
34	0.2155833926
35	0.2120814989
36	0.2088373277
37	0.2055531014
38	0.2030809033
39	0.200193792
40	0.1973306621
41	0.1951045469
42	0.192650578
43	0.1910653575
44	0.1889559713
45	0.1868372733
46	0.1848622418
47	0.1823668383
48	0.1801820469
49	0.1785645433
50	0.1768549449
51	0.1753286369
52	0.1740065955
53	0.1724296766
54	0.1703430031
55	0.1683338656
56	0.1668174606
57	0.1650705291
58	0.1632781722
59	0.1614819231
60	0.1601763372
61	0.159065041
62	0.1577166409
63	0.1565630478
64	0.1552140812
65	0.1549573809
66	0.1532637701
67	0.1517481041
68	0.1499121694
69	0.1489485549
70	0.1474073187
71	0.1454605302
72	0.1440577872
73	0.1430056745
74	0.1420857488
75	0.1409996286
76	0.1398644372
77	0.1386572402
78	0.1375841269
79	0.1367509134
80	0.1358126721
81	0.1349942391
82	0.1340008173
83	0.1332719171
84	0.132044557
85	0.1311607326
86	0.1302768343
87	0.1292545905
88	0.1285894682
89	0.1270697252
90	0.1264358144
91	0.1262229136
92	0.1254151718
93	0.1252178029
94	0.1248112654
95	0.1240644315
96	0.123352997
97	0.12207829
98	0.1209670554
99	0.1207709551
100	0.1201565176
101	0.1192347073
102	0.1186381665
103	0.1177576184
104	0.117215285
105	0.1164471673
106	0.1155877676
107	0.1149512086
108	0.1144223994
109	0.1138581786
110	0.1130129559
111	0.1127837597
112	0.1122385441
113	0.1113118686
114	0.1111632753
115	0.1104844564
116	0.1099980056
117	0.1087976815
118	0.1082796744
119	0.108096544
120	0.1078591446
121	0.1072452737
122	0.1064875392
123	0.1056941714
124	0.105053905
125	0.1044316338
126	0.1036452867
127	0.1030271971
128	0.1023480333
129	0.1022234892
130	0.1020957118
131	0.1019524642
132	0.1018022574
133	0.101002497
134	0.1004636802
135	0.1000345777
136	0.09946826918
137	0.0984797927
138	0.09817713124
139	0.09773209666
140	0.09732070002
141	0.09715113693
142	0.09663892499
143	0.09625390538
144	0.0957628357
145	0.09528989677
146	0.09505183224
147	0.09463738097
148	0.09404833508
149	0.09375006466
150	0.0933257782
151	0.09321021935
152	0.09248347467
153	0.09238873168
154	0.09164694784
155	0.09126130622
156	0.09079595461
157	0.09043673312
158	0.09016021467
159	0.08954019132
160	0.08921225522
161	0.08872513933
162	0.08845136143
163	0.0880572826
164	0.08759520734
165	0.08711192822
166	0.08668844852
167	0.08621937715
168	0.08557740477
169	0.08516013288
170	0.08467528949
171	0.08442787014
172	0.08429266555
173	0.0838917877
174	0.08354904647
175	0.08313458287
176	0.08303112556
177	0.0825907653
178	0.0821314429
179	0.0819504742
180	0.08131430932
181	0.08098947097
182	0.0808834517
183	0.08079503354
184	0.08027939745
185	0.0798450972
186	0.07951692091
187	0.07941914793
188	0.07886933194
189	0.07844331492
190	0.07779838028
191	0.07726546333
192	0.07660776204
193	0.07599447613
194	0.07554509978
195	0.07531564489
