y_true,oof_catboost,oof_fttransformer
1,0.9044337899400098,0.9967041611671448
0,0.059283364500913635,0.002028882270678878
0,0.02469430188224824,0.00229373830370605
1,0.08599656593029306,0.15911328792572021
0,0.04644548741740241,0.027457304298877716
0,0.013605708499884635,0.0024426954332739115
0,0.038673809636601345,0.011448725126683712
0,0.00634164460510604,0.0022188585717231035
0,0.01024015322804729,0.0015342525439336896
0,0.15011698129955653,0.33561161160469055
1,0.8133056656750196,0.9879606366157532
0,0.382794868052839,0.9735158681869507
0,0.02385633463258964,0.014903584495186806
1,0.9505153168602699,0.9971103072166443
0,0.21808002709004565,0.40659189224243164
1,0.9185378477969707,0.9933571219444275
1,0.9864016280418803,0.995242714881897
0,0.03031957533959476,0.009767199866473675
0,0.05335202163518761,0.009957574307918549
0,0.024157135068539424,0.002790283178910613
0,0.13302747917829674,0.0025410675443708897
0,0.020465771069051886,0.006453157402575016
1,0.940488301212846,0.9962748289108276
0,0.06663151196665859,0.03675258159637451
0,0.1343803201057275,0.02547813206911087
1,0.9454044797434314,0.9936656355857849
1,0.8274221162663612,0.9966525435447693
0,0.05056052275471806,0.008077824488282204
0,0.05198954798922322,0.002101532183587551
0,0.05379315358009361,0.002186574973165989
0,0.21490459240247994,0.3740887939929962
0,0.16271404833324246,0.4951755106449127
0,0.015979420023021912,0.004016077611595392
0,0.00919529674607176,0.00530471233651042
0,0.00816312372884396,0.005073736421763897
0,0.01974106745389888,0.008322449401021004
0,0.12822213489267653,0.29230690002441406
0,0.16103536406598712,0.22636273503303528
0,0.01177771850362763,0.0017243613256141543
0,0.12520264205662532,0.11476840078830719
0,0.1156184253580048,0.3469635248184204
0,0.005174333558191143,0.00522252032533288
0,0.019105513623913568,0.017501020804047585
1,0.9231052587254309,0.9946402907371521
0,0.04581366952592623,0.012340580113232136
0,0.02094098501074276,0.004655768163502216
1,0.8997513809270268,0.9925060868263245
0,0.041070160078091736,0.0058226194232702255
0,0.8557524242523988,0.9948490262031555
0,0.03028992749120198,0.005298953503370285
1,0.9289711393065818,0.9957394599914551
1,0.9437816185722263,0.9973553419113159
1,0.7115965198950187,0.9805338382720947
1,0.9278676089808202,0.9964979887008667
0,0.29940859575153655,0.5444473028182983
0,0.030838664937874436,0.003675114829093218
1,0.959508875268028,0.9972773194313049
0,0.13654131506799677,0.6886177062988281
0,0.011769572035967775,0.004393147770315409
0,0.02253742021555457,0.01152312383055687
1,0.8417754541034352,0.9968515038490295
0,0.009551630739244818,0.005240243393927813
1,0.9825532052965448,0.9948440790176392
0,0.27240313158793733,0.013904391787946224
1,0.8474538980732131,0.9766384959220886
1,0.9637480161172401,0.9920252561569214
0,0.03929713951320524,0.011187253519892693
0,0.007625808413846418,0.001578481518663466
0,0.08232725235643902,0.7710157036781311
0,0.01941365698772531,0.03546495735645294
