threshold,nb_model,nb_model_calibrated,nb_treat_all,nb_treat_none
0.01,0.2702538816282892,0.2656262466689007,0.2659613512694082,0.0
0.02,0.26894928587548766,0.26217880517135767,0.25847116097623885,0.0
0.03,0.26812266901190535,0.2619664174850573,0.25082653376980835,0.0
0.04,0.2656003159557662,0.25829383886255924,0.24302264349657715,0.0
0.05,0.2629084559740584,0.25658934065020367,0.23505446079654113,0.0
0.060000000000000005,0.258915666700279,0.254579677994017,0.22691674229437667,0.0
0.06999999999999999,0.25806451612903225,0.25113387351577227,0.21860401909324095,0.0
0.08,0.2563362868328869,0.24919293907548593,0.21011058451816747,0.0
0.09,0.2560283318577158,0.24727878756314775,0.20143048105133415,0.0
0.09999999999999999,0.2538177988414955,0.24697209057398628,0.19255748639634895,0.0
0.11,0.25308411878516784,0.24688925572891704,0.1834850986030495,0.0
0.12,0.2526209966968261,0.24486571879936808,0.1742065201780842,0.0
0.13,0.25178406057634695,0.2448838771767355,0.16471464109967132,0.0
0.14,0.2519930930599949,0.24471876262904588,0.15500202064734192,0.0
0.15000000000000002,0.25183533128891367,0.2411485921382771,0.14506086794907536,0.0
0.16,0.2511848341232228,0.24102911306702776,0.13488302113894532,0.0
0.17,0.2515274367612631,0.24094482194179562,0.12445992500808922,0.0
0.18000000000000002,0.24975918005625555,0.23897044657650368,0.11378260702038298,0.0
0.19,0.24890293136738637,0.238566106917871,0.10284165155149885,0.0
0.2,0.2468404423380727,0.2381516587677725,0.09162717219589259,0.0
0.21000000000000002,0.24722538844561764,0.23656688063671086,0.08012878197052412,0.0
0.22,0.24482521164985618,0.23660226029894277,0.06833556122655651,0.0
0.23,0.24492726862395106,0.23715147411829876,0.056236023060667634,0.0
0.24000000000000002,0.2425376236800532,0.23364097447409993,0.04381807599567639,0.0
0.25,0.24065297525013163,0.23380726698262244,0.031068983675618778,0.0
0.26,0.23935784125357584,0.23030613551940565,0.01797532129285684,0.0
0.27,0.23698846545045335,0.22995520353177953,0.004522928433854878,0.0
0.28,0.2352115148323679,0.23020888186764965,-0.009303142004563836,0.0
0.29000000000000004,0.23505328972253742,0.22986894510824823,-0.023518679215895733,0.0
0.3,0.23493568043331076,0.22951929587000677,-0.03814037463326564,0.0
0.31,0.23557020857659636,0.2291595118712366,-0.05318588730911006,0.0
0.32,0.23324969798345876,0.22953257132236782,-0.06867391506365583,0.0
0.33,0.23404305486784088,0.22680436679163427,-0.08462427200490447,0.0
0.34,0.23414237158312987,0.22648283785724543,-0.10105797309588782,0.0
0.35000000000000003,0.2302831449750881,0.2245716368939118,-0.11799732652813227,0.0
0.36000000000000004,0.2313388625592417,0.22422985781990523,-0.13546603475513436,0.0
0.37,0.22909300634419116,0.22387722861656512,-0.1534893051480729,0.0
0.38,0.2284054425928757,0.22448147581919178,-0.1720939713601386,0.0
0.39,0.22813560199932664,0.22414730790148396,-0.19130862662833764,0.0
0.4,0.229594523433386,0.224855186940495,-0.21116377040547663,0.0
0.41000000000000003,0.22695263341098348,0.22454280129595416,-0.23169196990387453,0.0
0.42000000000000004,0.22323909135479653,0.22421964373263606,-0.25292803835049305,0.0
0.43,0.22385743188936005,0.22388514730744713,-0.27490923200576467,0.0
0.44,0.22331302189122096,0.22353870458135863,-0.297675468291582,0.0
0.45,0.22217435013643547,0.22447221025420078,-0.3212695677150653,0.0
0.46,0.220115850447604,0.22415306301562227,-0.3457375226727517,0.0
0.47000000000000003,0.2196190646517035,0.22224209365405825,-0.3711287966854452,0.0
0.48000000000000004,0.22056142909223478,0.22189816502612714,-0.39749665816016533,0.0
0.49,0.2216027011120404,0.22154074900102222,-0.4248985534182076,0.0
