threshold,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,F1,label,auroc,auprc,brier
0.577,141,3,457,32,0.815028901734104,0.9934782608695653,0.9791666666666666,0.934560327198364,0.889589905362776,80% Sens,0.9867931641115858,0.9690516708255321,0.03853225254236254
0.447,149,9,451,24,0.861271676300578,0.9804347826086957,0.9430379746835443,0.9494736842105264,0.9003021148036254,85% Sens,0.9867931641115858,0.9690516708255321,0.03853225254236254
0.365,155,17,443,18,0.8959537572254336,0.9630434782608696,0.9011627906976745,0.9609544468546638,0.8985507246376812,90% Sens (recommended),0.9867931641115858,0.9690516708255321,0.03853225254236254
0.276,159,26,434,14,0.9190751445086706,0.9434782608695652,0.8594594594594595,0.96875,0.888268156424581,92% Sens,0.9867931641115858,0.9690516708255321,0.03853225254236254
0.213,165,32,428,8,0.953757225433526,0.9304347826086956,0.8375634517766497,0.981651376146789,0.8918918918918919,95% Sens,0.9867931641115858,0.9690516708255321,0.03853225254236254
