catboost_tuned,xgboost,lightgbm
0.9755570223074378,0.9972742199897766,0.9999784663876112
0.007905076973413286,7.311080116778612e-05,1.3428726156149118e-05
0.00848912362707572,0.00046571576967835426,6.0577162063964644e-05
0.02772709439196937,0.0055120415054261684,0.00016651827041695344
0.007305341244667819,0.004202309995889664,0.0003176221930718722
0.00424276920301938,0.0001709102507447824,1.7852894879151444e-05
0.009900906958028992,0.0008573661907576025,0.00011907808426823435
0.0006007377083876663,0.00016716093523427844,1.1556104948516012e-06
0.0017677489891587336,0.00014352511789184064,9.700123395600141e-07
0.20532125226462047,0.006579671986401081,0.0007825678580610625
0.7614455369884249,0.786944568157196,0.9468086563904807
0.44112261379736634,0.883619487285614,0.3634876330123196
0.0016017525798442385,5.320597847457975e-05,1.5809951096018976e-07
0.9977193780516469,0.9985246062278748,0.9995988036631405
0.36712748004052886,0.25646379590034485,0.054231565043646145
0.9860019635026418,0.9989302754402161,0.9959069468979641
0.9984304906509618,0.9997884631156921,0.9999993917089215
0.014703605151726456,0.002266540192067623,0.00032604296006696226
0.007938557693195049,0.00284887314774096,0.0002698838536114448
0.006121872725499941,0.002422286896035075,0.00031313873560883515
0.017255373968874825,0.001254479167982936,0.0003021332360359714
0.0013090901315189192,0.0007844218635000288,2.245088711185161e-05
0.988372371120584,0.9986438155174255,0.9999992528082348
0.01080397626599025,0.001836246345192194,0.0001545271690128413
0.03002030096557527,0.04498739540576935,0.0019295110665501825
0.9741580436154962,0.9983891248703003,0.9999269901980229
0.9852819124613347,0.9971987009048462,0.9996263533856699
0.019847859812629265,0.0012925988994538784,0.0004514595774337965
0.007407785799749688,0.00023348645481746644,2.1769021566258888e-05
0.011006934873701963,0.016962530091404915,0.0013789536898714913
0.38439905961303644,0.11580412089824677,0.10805850162604183
0.07887544634438458,0.0196108128875494,0.004907955646013489
0.004026504748439494,0.0016026198863983154,5.3227884899819265e-06
0.0010319168289773804,5.614094334305264e-05,1.8593364200288762e-07
0.0010504338832112708,4.096202610526234e-05,2.9162673301040866e-06
0.00893641344862436,0.00015368104504887015,7.65469557692513e-06
0.03123508639200392,0.009949392639100552,0.006135686879471118
0.10833532645123303,0.012928862124681473,0.0021175117349885703
0.0028564986110558655,7.895336602814496e-05,5.6225433100690224e-05
0.14087675375040867,0.1031685471534729,0.010427910354106142
0.027104656872409125,0.03282594680786133,0.012477891849420816
0.0006733267770732706,1.4220395314623602e-05,5.170026398686614e-07
0.003753209195781268,0.00046868427307344973,8.869715206344827e-05
0.9660521986431381,0.9991087317466736,0.9996392167139062
0.00638711198239043,0.0014005749253556132,0.0011136185394565378
0.002976606668179359,9.193223377224058e-05,3.215914216152703e-06
0.9918784735892047,0.9795107245445251,0.9967548877235394
0.018722621838211443,0.00038793907151557505,7.79016080190033e-06
0.9619572159996209,0.9952318072319031,0.9983353195525831
0.003132454219056162,0.0005669597303494811,0.0001305642939970223
0.989021957863128,0.9999253749847412,0.9999999201116295
0.9810458471199662,0.994009256362915,0.9998113360489618
0.6496836688629476,0.9028480052947998,0.991072748328939
0.9490373879552089,0.946803629398346,0.7960545814627297
0.34374120183822304,0.39368999004364014,0.1168316944346621
0.006641363250370662,0.0004870553966611624,0.00011918395751808571
0.9995870552183073,0.9999839067459106,0.9999999984279815
0.0693855135792715,0.03975409269332886,0.0016340351724968686
0.0023858585223560207,0.00020866231352556497,1.4746658434632657e-05
0.002521154051760966,0.001082920003682375,0.0002061012685859014
0.9316458919111503,0.9969577789306641,0.9557814654247843
0.0009103813343084843,3.4893135307356715e-05,4.789138673380248e-06
0.9986188017106203,0.9999687671661377,0.9999999609578727
0.028218914955535187,0.006843255832791328,0.0001599644008509901
0.638003743312011,0.5835259556770325,0.38545208481286725
0.9919862831166356,0.9982736110687256,0.9999381474188922
0.0031077071133885662,0.00021254416787996888,4.2477617051361606e-05
0.0013579583616750222,9.675103501649573e-05,1.9036980143558456e-06
0.015594930295224265,0.011115925386548042,0.002863134877612368
0.0035957282919993885,2.1240579371806234e-05,4.8921366574125055e-06
0.0573793820092718,0.008785227313637733,0.0014972943560121494
0.15500346370977758,0.05922030285000801,0.015165287945793554
0.9640455332570262,0.9489801526069641,0.9832944137236161
0.01269536742625308,0.0015597963938489556,0.00012661045144252617
0.009155555736538519,0.0001817919546738267,6.856268292348591e-05
0.9073121384907066,0.9978395700454712,0.999819379352555
0.17528799128363004,0.0574754923582077,0.0961380291056442
0.03645165475747698,0.023098483681678772,0.00021651791783768167
0.010778639035198479,0.001248108921572566,8.9178822364669e-05
0.8848199840727613,0.5897927284240723,0.9874068609282247
0.9807303252924797,0.9949636459350586,0.9998290318636329
0.0014382006177057788,0.00034401717130094767,2.896573008786233e-06
0.0020989402886798215,5.8841105783358216e-05,3.3287075714433803e-06
0.011808122918972593,0.001379872323013842,0.0002856004537794613
0.004426192678526181,0.00023296209110412747,1.1610681055176946e-05
0.023642085440477537,0.0037420839071273804,0.0003940109986427151
0.11645976097401484,0.03715743124485016,0.034894018635758944
0.9966392379567703,0.9991546869277954,0.9999966722642168
0.004069233356248066,0.0011084143770858645,0.0006223750393184478
0.008405734051875273,0.001321875723078847,4.241823558463806e-05
0.3857740745364692,0.6654163002967834,0.21203075795717652
0.9864408674953471,0.9992114305496216,0.9999878566337428
0.12639587504686395,0.03708244860172272,0.029125680295425626
0.0009475533459238842,5.496967787621543e-05,1.0440771886146502e-06
0.34245333161731484,0.13210409879684448,0.23758517779806368
0.9988179025759639,0.9999233484268188,0.9999953342886966
0.0022499993717374966,0.0016504554077982903,0.00020574580333379634
0.004480083401703367,4.0394810639554635e-05,8.398438404963299e-06
0.01185469132722763,0.0011852752650156617,9.658321833203495e-05
0.011166424053758,0.0008347640978172421,0.00011397363578856194
0.030380095571886243,0.017449457198381424,0.0004885932426232933
0.7369510783107555,0.9800658226013184,0.9579284306907263
0.010081800172323314,0.002378839999437332,1.8502581245048576e-05
0.08911818539422803,0.014757059514522552,0.005605063447718528
0.0819894505201847,0.023800376802682877,0.026671624524629872
0.003538434620704007,0.000843681104015559,4.343913357961562e-06
0.9937852698162467,0.9994696974754333,0.9999901425697967
0.0014070721152643227,9.757676161825657e-05,7.723726373218561e-06
0.9867463357215913,0.9950565099716187,0.9983716870013168
0.0038834929938240457,0.00021637295139953494,1.5810402226105273e-05
0.0011259659821975935,8.047576557146385e-05,1.777539928340629e-05
0.19721767142383165,0.7794856429100037,0.7612011812623393
0.004652990005487011,0.00016058210167102516,2.437550800277583e-05
0.0015699964507965094,0.0008657145081087947,8.974546899768153e-05
0.006784024692092797,0.0011722467606887221,8.04456739913175e-05
0.0016442213543669576,3.2858257327461615e-05,2.00107805336535e-06
0.002981745858004118,0.0009716136264614761,0.0004905000069773971
0.004938585469680505,0.0013640475226566195,3.894004344940684e-06
0.003567734077854604,0.0005115859676152468,1.7948426870195375e-05
0.4834362103684315,0.09066183120012283,0.05088072122474634
0.054816520405398333,0.012024389579892159,0.0008062209427307845
0.006467100034092077,0.00044189777690917253,2.8329393223464047e-05
0.0014852613584506172,4.9068083171732724e-05,1.6288466179114358e-06
0.025851413363878348,0.006907003931701183,0.005387050961144794
0.9651207925228258,0.9256930351257324,0.9940917368033445
0.0057455103468162716,0.00460895337164402,0.0008064188634705433
0.006497038816495769,0.00019961358339060098,7.114906607844867e-06
0.005418580743834333,0.0009295346681028605,2.445997262463006e-06
0.9986206798547602,0.9997159838676453,0.9999996731992065
0.0007077327309442852,0.00011828666902147233,4.870321766018026e-06
0.9919755739878647,0.9981375932693481,0.999987259895622
0.9989281833448468,0.999889612197876,0.9999998604958794
0.0028627310758881945,0.014986937865614891,0.0014324854327638268
0.9512070715169971,0.994121253490448,0.9995668425045738
0.002298854192310883,0.00014585437020286918,6.97219565715358e-06
0.9506835017353682,0.9878135919570923,0.9990199463807786
0.0158986802531307,0.014637964777648449,0.0019847230529144457
0.3739885084560298,0.528179943561554,0.3464034501031461
0.9775828458307902,0.9954002499580383,0.9994282686199119
0.0034852389329756827,0.0003371739003341645,5.2796340771646016e-05
0.003091099153460655,0.001601932686753571,0.00042556630634354455
0.005708555018796618,0.0002358997444389388,1.2482713190603747e-05
0.07559317500432795,0.045477282255887985,0.015164858842276462
0.9813583873570014,0.9947227239608765,0.9997094506325077
0.9992252939975074,0.9998822212219238,0.999999796003696
0.002754696956216741,0.0003966685908380896,9.371253151589627e-06
0.0009696533419824719,4.6436874981736764e-05,5.869301973670965e-07
0.9966658784089146,0.9997885823249817,0.9999980039644996
0.03785184408912596,0.006315821781754494,0.013612247219075436
0.004467640607428942,0.003762247273698449,0.00015289357420742177
0.00886788769503893,0.003586050122976303,9.871259338566778e-05
0.9977304293191618,0.9997240900993347,0.9999806954163142
0.01153485202328945,0.0021917913109064102,0.0027202582146232286
0.9911105431028261,0.9995527863502502,0.999999767689786
0.0013408814344516168,0.00011882127728313208,8.676749317841971e-07
0.025611163854114057,0.00041443973896093667,3.081786428958682e-05
0.035156073579858726,0.0029458459466695786,0.0003381143650968101
0.009547965867629002,0.0002887963782995939,5.0546868196695756e-05
0.004733636220900745,5.15274477947969e-05,1.560142904755646e-06
0.5893921527882466,0.7981648445129395,0.872139647172488
0.9914361587734783,0.9945660829544067,0.9975842968350848
0.8662338074975449,0.6183614134788513,0.3346929047779031
0.0012805154788635418,6.183495133882388e-05,6.804332690843122e-07
0.0063273638361495575,0.0005439682281576097,2.7732464048041128e-05
