age_band,n_patients,n_sepsis,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auprc,sensitivity_at_0365,specificity_at_0365,ppv_at_0365,npv_at_0365,f1_at_0365,tp,fp,tn,fn
Neonate (0–28d),102,17,0.16666666666666666,0.970242214532872,0.9218039772727273,0.9990160496637713,0.9147126952854507,0.8235294117647058,0.9647058823529412,0.8235294117647058,0.9647058823529412,0.8235294117647058,14,3,82,3
Infant (29d–1y),223,64,0.28699551569506726,0.9891902515723271,0.9784624518687602,0.9968562309701551,0.9767756407824615,0.859375,0.9685534591194969,0.9166666666666666,0.9447852760736196,0.8870967741935484,55,5,154,9
Child (1–12y),289,87,0.30103806228373703,0.9875953112552635,0.9761505458970037,0.9956630177291195,0.9718175950006078,0.9310344827586207,0.9554455445544554,0.9,0.9698492462311558,0.9152542372881356,81,9,193,6
Adolescent (12–18y),19,5,0.2631578947368421,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0,14,0
