comparison,auroc_tuned,auroc_baseline,z_statistic,p_value,significant_p05
Tuned CatBoost vs CatBoost_baseline,0.9867931641115858,0.9862528273435536,0.4974533923015441,0.6188693621485821,NO
Tuned CatBoost vs LightGBM,0.9867931641115858,0.9806107062075899,2.3774457687392885,0.017433006231279746,YES
Tuned CatBoost vs XGBoost,0.9867931641115858,0.9780221161095752,2.815478174368084,0.004870470509439118,YES
Tuned CatBoost vs RandomForest,0.9867931641115858,0.9656195023875346,4.323696079800731,1.5343663873457203e-05,YES
Tuned CatBoost vs LogisticReg,0.9867931641115858,0.9151545614475999,5.495850226473477,3.8883242181597666e-08,YES
