feature,mean_abs_shap,display_name,rank
creatinine_min,0.005852476393580712,creatinine_min,127
alt_min,0.005820540650075125,alt_min,128
heart_rate_max,0.005587867681297996,Heart rate (max),129
alc_min,0.005580750856459744,ALC (min),130
base_excess_first,0.00545622849990915,base_excess_first,131
anc_min,0.005233491571700851,ANC (min),132
alt_first,0.005218592156400334,alt_first,133
alt_mean,0.005122843565160307,alt_mean,134
urea_mean,0.0050431974994525905,urea_mean,135
wbc_first,0.004853308998982359,wbc_first,136
anc_max,0.004720050427178346,anc_max,137
ptt_max,0.00470154797460152,PTT (max),138
temperature_mean,0.004617575748206571,temperature_mean,139
potassium_trend,0.004528491983608736,potassium_trend,140
alc_max,0.00451072185104076,alc_max,141
crp_mean,0.004444446473190887,crp_mean,142
anc_mean,0.004435694490439406,anc_mean,143
resp_rate_min,0.004243481693608001,resp_rate_min,144
urine_output_total_ml,0.004223632079790598,urine_output_total_ml,145
alc_mean,0.00420091822348938,alc_mean,146
systolic_bp_mean,0.00417827205775069,systolic_bp_mean,147
heart_rate_mean,0.004103912015514733,heart_rate_mean,148
wbc_mean,0.0035030455956161347,wbc_mean,149
ph_first,0.00330182582624232,ph_first,150
diastolic_bp_min,0.0032561688594263363,diastolic_bp_min,151
fibrinogen_max,0.0031552805877650032,fibrinogen_max,152
alc_first,0.002922744591656007,alc_first,153
hr_abnormal_for_age,0.0027605102339030314,hr_abnormal_for_age,154
systolic_bp_min,0.0027473529328318953,systolic_bp_min,155
bilirubin_max,0.002689113847834324,Bilirubin (max),156
albumin_min,0.002685957881367393,albumin_min,157
wbc_trend,0.0026744010738659996,wbc_trend,158
temperature_trend,0.0026300776178878825,temperature_trend,159
ast_max,0.0024411952021992723,ast_max,160
ldh_mean,0.0023671288657975643,ldh_mean,161
creatinine_first,0.0023326600696454173,creatinine_first,162
bilirubin_mean,0.0022936216601070905,bilirubin_mean,163
heart_rate_min,0.002065845598414951,heart_rate_min,164
albumin_max,0.0019758159203395256,albumin_max,165
albumin_first,0.00195446283382227,albumin_first,166
ldh_min,0.0019402205205611314,ldh_min,167
