column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
crp_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7263,1.0,0.4459,27.4,"{1: 7232, 0: 2725}",
crp_mean,float64,9957,0,0.0,1713,0.04,313.78,23.003,12.16,29.4909,0.0,"{12.16: 2725, 4.0: 506, 3.0: 505, 5.0: 333, 6.0: 259}",
crp_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7263,1.0,0.4459,27.4,"{1: 7232, 0: 2725}",
crp_first,float64,9957,0,0.0,1447,0.0,313.78,20.662,9.0,29.8173,0.0,"{9.0: 2870, 3.0: 840, 4.0: 706, 5.0: 462, 6.0: 325}",
crp_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7263,1.0,0.4459,27.4,"{1: 7232, 0: 2725}",
crp_count,int64,9957,0,0.0,7,0.0,6.0,1.0128,1.0,0.7906,27.4,"{1: 4656, 0: 2725, 2: 2340, 3: 203, 4: 27}",
ldh_max,float64,9957,0,0.0,1362,6.0,45680.0,550.5987,413.0,952.471,0.0,"{413.0: 3520, 307.0: 28, 293.0: 27, 262.0: 26, 334.0: 23}",
ldh_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6476,1.0,0.4777,35.2,"{1: 6448, 0: 3509}",
ldh_min,float64,9957,0,0.0,1366,2.0,30204.0,518.0337,399.0,761.4082,0.0,"{399.0: 3517, 307.0: 27, 293.0: 27, 262.0: 25, 288.0: 22}",
ldh_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6476,1.0,0.4777,35.2,"{1: 6448, 0: 3509}",
ldh_mean,float64,9957,0,0.0,1532,6.0,30204.0,533.8656,405.0,815.8149,0.0,"{405.0: 3517, 307.0: 29, 293.0: 26, 262.0: 25, 334.0: 22}",
ldh_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6476,1.0,0.4777,35.2,"{1: 6448, 0: 3509}",
ldh_first,float64,9957,0,0.0,1364,2.0,30204.0,535.8589,407.0,812.1386,0.0,"{407.0: 3526, 307.0: 28, 293.0: 27, 262.0: 26, 252.0: 24}",
