column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
ast_max,float64,2530,0,0.0,331,9.0,21391.0,130.4921,41.0,688.1413,0.0,"{41.0: 1025, 29.0: 49, 25.0: 44, 18.0: 37, 22.0: 37}",
ast_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.5996,1.0,0.4901,40.0,"{1: 1517, 0: 1013}",
ast_min,float64,2530,0,0.0,331,9.0,15483.0,123.4051,40.0,595.082,0.0,"{40.0: 1028, 29.0: 51, 25.0: 45, 18.0: 39, 22.0: 35}",
ast_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.5996,1.0,0.4901,40.0,"{1: 1517, 0: 1013}",
ast_mean,float64,2530,0,0.0,355,9.0,18437.0,126.957,40.5,635.5454,0.0,"{40.5: 1015, 29.0: 49, 25.0: 43, 18.0: 36, 22.0: 35}",
ast_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.5996,1.0,0.4901,40.0,"{1: 1517, 0: 1013}",
ast_first,float64,2530,0,0.0,332,9.0,15483.0,127.3198,41.0,622.1073,0.0,"{41.0: 1025, 29.0: 49, 25.0: 45, 18.0: 39, 22.0: 36}",
ast_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.5996,1.0,0.4901,40.0,"{1: 1517, 0: 1013}",
ast_count,int64,2530,0,0.0,5,0.0,4.0,0.753,1.0,0.7356,40.0,"{1: 1170, 0: 1013, 2: 326, 4: 20, 3: 1}",
glucose_max,float64,2530,0,0.0,248,18.0,1044.0,174.9816,154.8,93.9555,0.0,"{154.8: 126, 142.20000000000002: 46, 120.6: 43, 136.79999999999998: 39, 118.8: 39}",
glucose_min,float64,2530,0,0.0,231,9.0,504.0,105.6609,102.6,39.8297,0.0,"{102.6: 198, 100.8: 71, 95.4: 70, 99.0: 68, 104.4: 68}",
glucose_mean,float64,2530,0,0.0,828,18.0,612.0,136.8582,127.8,51.8968,0.0,"{127.8: 143, 108.0: 32, 106.2: 29, 100.8: 27, 122.4: 25}",
glucose_first,float64,2530,0,0.0,218,14.4,810.0,134.4455,118.8,64.6874,0.0,"{118.8: 175, 100.8: 59, 104.4: 59, 115.2: 56, 113.4: 54}",
glucose_count,int64,2530,0,0.0,17,0.0,16.0,3.0198,3.0,1.9934,5.0,"{3: 574, 2: 553, 1: 450, 4: 368, 5: 183}",
anc_max,float64,2530,0,0.0,1383,0.01,74.3,9.2555,8.16,6.151,0.0,"{8.16: 186, 5.9: 6, 6.29: 6, 2.59: 6, 6.66: 6}",
anc_min,float64,2530,0,0.0,1181,0.01,51.84,6.5827,5.49,4.8343,0.0,"{5.49: 187, 5.21: 8, 3.73: 7, 5.09: 7, 5.27: 7}",
anc_mean,float64,2530,0,0.0,1659,0.01,57.625,7.9137,6.89,5.26,0.0,"{6.89: 188, 7.85: 6, 5.12: 5, 6.39: 5, 4.27: 5}",
anc_first,float64,2530,0,0.0,1293,0.01,51.84,7.5554,6.22,5.6928,0.0,"{6.22: 186, 2.21: 8, 6.29: 7, 5.09: 7, 5.21: 7}",
anc_count,int64,2530,0,0.0,7,0.0,6.0,1.6289,2.0,0.7351,7.3,"{2: 1452, 1: 742, 0: 185, 3: 135, 4: 12}",
alc_max,float64,2530,0,0.0,696,0.03,49.86,3.0197,2.48,2.4203,0.0,"{2.48: 196, 2.1: 14, 2.21: 13, 1.46: 13, 2.23: 13}",
alc_min,float64,2530,0,0.0,559,0.0,41.66,2.1768,1.81,1.8756,0.1,"{1.81: 201, 1.02: 16, 1.58: 16, 1.41: 16, 1.14: 15}",
alc_mean,float64,2530,0,0.0,1030,0.02,45.76,2.5968,2.19,2.0439,0.0,"{2.19: 191, 1.14: 11, 2.16: 10, 1.05: 10, 1.39: 10}",
alc_first,float64,2530,0,0.0,651,0.0,49.86,2.6425,2.16,2.2994,0.1,"{2.16: 196, 2.0: 15, 2.1: 15, 2.05: 13, 1.02: 13}",
alc_count,int64,2530,0,0.0,7,0.0,6.0,1.6296,2.0,0.7349,7.3,"{2: 1454, 1: 740, 0: 185, 3: 135, 4: 12}",
wbc_max,float64,2530,0,0.0,1537,0.02,220.0,13.655,11.97,11.0302,0.0,"{11.97: 108, 14.62: 6, 12.18: 6, 8.82: 6, 9.36: 5}",
wbc_min,float64,2530,0,0.0,1407,0.0,214.88,10.2559,8.87,9.4472,0.2,"{8.87: 111, 6.14: 7, 8.11: 7, 7.96: 7, 4.48: 6}",
wbc_mean,float64,2530,0,0.0,1834,0.02,217.44,11.9557,10.58,10.0038,0.0,"{10.58: 108, 9.09: 5, 9.36: 5, 5.33: 4, 6.86: 4}",
wbc_first,float64,2530,0,0.0,1480,0.0,214.88,11.4605,9.57,10.1852,0.2,"{9.57: 109, 8.11: 7, 7.96: 7, 6.14: 7, 10.18: 6}",
wbc_count,int64,2530,0,0.0,7,0.0,6.0,1.7032,2.0,0.69,4.2,"{2: 1527, 1: 730, 3: 147, 0: 107, 4: 14}",
ph_max,float64,2530,0,0.0,369,6.668,7.701,7.4283,7.43,0.0708,0.0,"{7.43: 88, 7.451: 31, 7.435: 25, 7.438: 25, 7.442: 24}",
ph_min,float64,2530,0,0.0,502,6.558,7.588,7.3204,7.337,0.1181,0.0,"{7.337: 68, 7.335: 20, 7.348: 19, 7.351: 18, 7.334: 18}",
ph_mean,float64,2530,0,0.0,1193,6.6057,7.6115,7.3775,7.384,0.0779,0.0,"{7.384: 77, 7.386: 13, 7.369: 12, 7.364: 11, 7.438: 11}",
ph_first,float64,2530,0,0.0,488,6.59,7.701,7.3519,7.361,0.1079,0.0,"{7.361: 68, 7.3889999999999985: 18, 7.354: 18, 7.36: 18, 7.399: 17}",
ph_count,int64,2530,0,0.0,21,0.0,24.0,4.1423,4.0,2.9064,2.7,"{2: 530, 4: 465, 3: 415, 6: 305, 1: 224}",
pco2_max,float64,2530,0,0.0,524,15.3,179.0,44.1041,40.7,15.1123,0.0,"{40.7: 81, 38.8: 23, 39.1: 20, 40.3: 18, 36.5: 17}",
pco2_min,float64,2530,0,0.0,410,7.9,77.4,33.0456,32.2,7.9811,0.0,"{32.2: 90, 32.6: 25, 34.5: 23, 31.4: 23, 32.7: 22}",
pco2_mean,float64,2530,0,0.0,1324,13.78,108.4667,38.0862,36.3667,9.2234,0.0,"{36.3667: 70, 34.3: 13, 38.8: 12, 33.5: 11, 35.0: 11}",
pco2_first,float64,2530,0,0.0,506,7.9,155.0,39.5109,37.7,12.1512,0.0,"{37.7: 77, 32.0: 19, 35.0: 18, 33.3: 18, 34.5: 18}",
pco2_count,int64,2530,0,0.0,21,0.0,24.0,4.1423,4.0,2.9046,2.7,"{2: 531, 4: 465, 3: 414, 6: 305, 1: 224}",
pao2_max,float64,2530,0,0.0,554,16.1,493.0,159.2847,164.5,59.7741,0.0,"{164.5: 68, 176.0: 33, 165.0: 31, 179.0: 27, 191.0: 27}",
pao2_min,float64,2530,0,0.0,791,9.1,290.0,90.1645,84.45,45.0344,0.0,"{84.45: 68, 140.0: 23, 112.0: 20, 104.0: 20, 105.0: 19}",
pao2_mean,float64,2530,0,0.0,1768,16.1,316.6667,124.5732,124.99,42.9684,0.0,"{124.99: 68, 135.0: 11, 137.0: 9, 123.0: 9, 187.0: 8}",
pao2_first,float64,2530,0,0.0,713,9.1,452.0,121.8356,124.0,57.3744,0.0,"{124.0: 78, 165.0: 27, 177.0: 24, 140.0: 23, 163.0: 22}",
pao2_count,int64,2530,0,0.0,21,0.0,24.0,4.1415,4.0,2.9082,2.7,"{2: 528, 4: 465, 3: 416, 6: 304, 1: 226}",
base_excess_max,float64,2530,0,0.0,235,-23.5,30.3,-0.6727,-0.9,3.8626,1.1,"{-0.9: 104, -0.7: 44, -1.0: 40, 0.7: 40, -1.6: 40}",
base_excess_min,float64,2530,0,0.0,289,-32.2,16.0,-5.2326,-4.9,5.1093,0.3,"{-4.9: 94, -6.2: 37, -3.8: 35, -5.2: 33, -3.4: 33}",
base_excess_mean,float64,2530,0,0.0,1282,-25.5625,20.7857,-2.8457,-3.0146,3.8618,0.2,"{-3.0146: 68, -3.25: 13, -2.45: 13, -3.15: 12, -4.35: 12}",
base_excess_first,float64,2530,0,0.0,282,-29.4,23.4,-3.7617,-3.5,4.8962,0.6,"{-3.5: 91, -3.3: 33, -3.2: 32, -3.6: 31, -4.0: 31}",
base_excess_count,int64,2530,0,0.0,27,0.0,32.0,6.4751,6.0,4.0446,2.7,"{6: 600, 4: 549, 2: 391, 8: 377, 10: 210}",
bicarbonate_max,float64,2530,0,0.0,221,6.6,58.2,24.2019,23.75,3.6479,0.0,"{23.75: 68, 23.1: 56, 22.5: 50, 22.4: 47, 23.8: 47}",
bicarbonate_min,float64,2530,0,0.0,250,2.3,39.9,19.3079,19.45,4.1482,0.0,"{19.45: 68, 19.7: 41, 20.1: 40, 18.5: 38, 20.0: 37}",
bicarbonate_mean,float64,2530,0,0.0,1189,6.0,46.3929,21.8427,21.55,3.3609,0.0,"{21.55: 75, 21.75: 15, 22.05: 15, 20.05: 13, 20.85: 13}",
bicarbonate_first,float64,2530,0,0.0,268,2.8,50.5,21.1317,21.1,4.2555,0.0,"{21.1: 106, 20.4: 44, 22.5: 43, 20.7: 39, 21.3: 37}",
bicarbonate_count,int64,2530,0,0.0,28,0.0,32.0,6.4743,6.0,4.0363,2.7,"{6: 597, 4: 547, 2: 391, 8: 377, 10: 210}",
anion_gap_max,float64,2530,0,0.0,324,-4.4,58.5,10.1701,9.0,6.7355,0.2,"{9.0: 103, 6.6: 26, 5.6: 26, 8.2: 24, 4.3: 22}",
anion_gap_min,float64,2530,0,0.0,270,-5.0,34.2,5.1937,3.9,5.8034,0.8,"{3.9: 106, 1.5: 27, 0.7: 27, 1.3: 26, 2.9: 25}",
anion_gap_mean,float64,2530,0,0.0,1114,-4.4,40.5667,7.6283,6.3225,5.8083,0.2,"{6.3225: 86, 4.5: 17, 5.2: 15, 5.6: 14, 2.0: 13}",
