feature,mean_abs_shap,rank
symptom_listless,0.0004921005566751176,175
hemoglobin_max,0.00046634830640093967,176
albumin_first,0.00045931258591912514,177
crp_min,0.0004112954803209072,178
symptom_edema,0.00040084939410936303,179
systolic_bp_mean,0.00032514745203171747,180
symptom_vomiting,0.00031524511746012357,181
symptom_three_depressions_sign,0.0003050800458843831,182
symptom_cyanosis,0.0002960803369882941,183
albumin_max,0.0002691637716878036,184
diastolic_bp_min,0.00025103208838864405,185
temperature_first,0.0002481982919555031,186
urine_output_total_ml,0.00020210749560060478,187
symptom_phlegm_sound,5.58570157534121e-05,188
map_mean,5.0886531464981596e-05,189
temperature_min,5.01054824412634e-05,190
symptom_dysphoria,3.442936482687885e-05,191
symptom_tenderness,0.0,192
symptom_abdominal_distension,0.0,193
symptom_erythra,0.0,194
symptom_headache,0.0,195
symptom_moist_rale,0.0,196
symptom_dry_and_moist_rales,0.0,197
symptom_pharyngeal_red,0.0,198
symptom_chest_tightness,0.0,199
symptom_rebound_tenderness,0.0,200
symptom_abdominal_tenderness,0.0,201
had_cardiac_surgery_flag,0.0,202
care_unit_PICU,0.0,203
symptom_swelling,0.0,204
map_first,0.0,205
symptom_arrhythmia,0.0,206
symptom_skin_jaundice,0.0,207
heart_rate_first,0.0,208
heart_rate_min,0.0,209
diastolic_bp_first,0.0,210
spo2_trend,0.0,211
hr_abnormal_for_age,0.0,212
rr_abnormal_for_age,0.0,213
sbp_abnormal_for_age,0.0,214
spo2_first,0.0,215
spo2_min,0.0,216
spo2_max,0.0,217
symptom_fever,0.0,218
symptom_rale,0.0,219
symptom_twitching,0.0,220
symptom_anhelation,0.0,221
symptom_warm_extremities,0.0,222
symptom_hemorrhage,0.0,223
symptom_diarrhea,0.0,224
symptom_cool_extremities,0.0,225
