threshold,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,F1,label,auroc,auprc
0.577,164,37,2280,9,0.9479768786127167,0.9840310746655158,0.8159203980099502,0.9960681520314548,0.8770053475935828,80% Sens,0.9967368607502725,0.9635744987277424
0.447,167,59,2258,6,0.9653179190751445,0.9745360379801468,0.7389380530973452,0.9973498233215548,0.8370927318295739,85% Sens,0.9967368607502725,0.9635744987277424
0.365,170,76,2241,3,0.9826589595375722,0.9671989641778161,0.6910569105691057,0.9986631016042781,0.8114558472553699,90% Sens (recommended),0.9967368607502725,0.9635744987277424
0.276,170,101,2216,3,0.9826589595375722,0.956409149762624,0.6273062730627307,0.9986480396575034,0.7657657657657657,92% Sens,0.9967368607502725,0.9635744987277424
0.213,172,118,2199,1,0.9942196531791907,0.9490720759602935,0.593103448275862,0.9995454545454545,0.7429805615550756,95% Sens,0.9967368607502725,0.9635744987277424
