feature,importance
attn_temperature_max,0.0
attn_resp_rate_first,0.0
attn_resp_rate_mean,0.0
attn_resp_rate_min,0.0
attn_resp_rate_max,0.0
attn_heart_rate_first,0.0
attn_heart_rate_min,0.0
attn_heart_rate_max,0.0
attn_diastolic_bp_first,0.0
attn_diastolic_bp_mean,0.0
attn_diastolic_bp_min,0.0
attn_diastolic_bp_max,0.0
attn_systolic_bp_first,0.0
attn_systolic_bp_mean,0.0
attn_crp_min,0.0
attn_age_years,0.0
attn_lactate_min,0.0
bicarbonate_first,0.0
hemoglobin_mean,0.0
hemoglobin_min,0.0
hemoglobin_max,0.0
spo2_lab_first,0.0
spo2_lab_mean,0.0
spo2_lab_min,0.0
spo2_lab_max,0.0
anion_gap_first,0.0
anion_gap_mean,0.0
anion_gap_min,0.0
anion_gap_max,0.0
bicarbonate_mean,0.0
hematocrit_max,0.0
bicarbonate_min,0.0
bicarbonate_max,0.0
base_excess_first,0.0
base_excess_mean,0.0
base_excess_min,0.0
base_excess_max,0.0
pao2_first,0.0
pao2_mean,0.0
pao2_min,0.0
pao2_max,0.0
pco2_first,0.0
hemoglobin_first,0.0
hematocrit_min,0.0
crp_max,0.0
sodium_first,0.0
albumin_mean,0.0
albumin_min,0.0
albumin_max,0.0
calcium_first,0.0
calcium_mean,0.0
calcium_min,0.0
calcium_max,0.0
potassium_first,0.0
potassium_mean,0.0
potassium_min,0.0
potassium_max,0.0
sodium_mean,0.0
hematocrit_mean,0.0
sodium_min,0.0
sodium_max,0.0
ptt_first,0.0
ptt_mean,0.0
ptt_min,0.0
ptt_max,0.0
pt_first,0.0
pt_mean,0.0
pt_min,0.0
pt_max,0.0
hematocrit_first,0.0
pco2_mean,0.0
pco2_min,0.0
pco2_max,0.0
fibrinogen_max,0.0
bilirubin_first,0.0
bilirubin_mean,0.0
bilirubin_min,0.0
bilirubin_max,0.0
creatinine_first,0.0
creatinine_mean,0.0
creatinine_min,0.0
creatinine_max,0.0
fibrinogen_first,0.0
fibrinogen_mean,0.0
fibrinogen_min,0.0
ddimer_first,0.0
ph_first,0.0
inr_first,0.0
inr_mean,0.0
inr_min,0.0
inr_max,0.0
platelets_first,0.0
platelets_mean,0.0
platelets_min,0.0
platelets_max,0.0
lactate_first,0.0
lactate_mean,0.0
lactate_min,0.0
alt_max,0.0
alt_min,0.0
alt_mean,0.0
alt_first,0.0
ph_mean,0.0
ph_min,0.0
ph_max,0.0
wbc_first,0.0
wbc_mean,0.0
wbc_min,0.0
