feature,abs_corr_with_label,type
alc_count,0.08561538208865042,count
sodium_min,0.07463246767716741,clinical
had_cardiac_surgery_flag,0.0738856669701081,clinical
creatinine_mean,0.07112102997690527,clinical
hemoglobin_trend,0.07039190677033838,trend
creatinine_min,0.07038194988958973,clinical
creatinine_max,0.06955212814686729,clinical
creatinine_first,0.06845919946197475,clinical
temperature_max_was_measured,0.0676277719399195,clinical
age_years,0.06490148390357876,clinical
ck_max,0.06417095936239062,clinical
ck_first,0.06381706768315334,clinical
pao2_mean,0.0637993003756247,clinical
hematocrit_max,0.06353545870152531,clinical
hemoglobin_first,0.06315441937690404,clinical
ck_mean,0.06060244118828409,clinical
hemoglobin_max,0.060078953467772235,clinical
ck_min,0.056562912834781834,clinical
heart_rate_max_was_measured,0.05497126934009424,clinical
sodium_mean,0.054551321458957504,clinical
wbc_trend,0.05406047263664108,trend
n_cultures_24h,0.05329080908983518,clinical
glucose_trend,0.0529661919340356,trend
temperature_max,0.052197161724914815,clinical
alc_min,0.052011545750981096,clinical
resp_rate_max_was_measured,0.049485751010647096,clinical
systolic_bp_min,0.049419183095960925,clinical
rr_abnormal_for_age,0.048133978926811226,clinical
temperature_trend_was_measured,0.04799116148159559,clinical
pao2_first,0.047044932203723556,clinical
systolic_bp_mean,0.04599989147508691,clinical
alc_first,0.045681933876089036,clinical
wbc_max,0.045674454104025076,clinical
inr_trend,0.04550272366910441,trend
n_positive_cultures,0.04522569051761357,clinical
platelets_trend,0.045078345252440685,trend
resp_rate_trend,0.044891008315987406,trend
pco2_mean,0.04455035534384921,clinical
resp_rate_trend_was_measured,0.044431500363496045,clinical
systolic_bp_first,0.04427467139346983,clinical
systolic_bp_max,0.044233466031549144,clinical
care_unit_PICU,0.04416719819663939,clinical
map_min,0.04277944610116246,clinical
wbc_first,0.042250783185358756,clinical
map_mean,0.039657346188816445,clinical
gender,0.03915269606729559,clinical
temperature_count,0.03905942495618827,count
bilirubin_first,0.038916708616784576,clinical
bilirubin_max,0.03883005040553222,clinical
bicarbonate_max,0.03874992018302914,clinical
heart_rate_count,0.03800463784158993,count
symptom_cyanosis,0.03787397984453149,clinical
diastolic_bp_min,0.036938970022538146,clinical
bilirubin_mean,0.03624102718441758,clinical
map_max,0.035592782583124725,clinical
potassium_trend,0.03559171902667515,trend
map_first,0.0349473851340809,clinical
resp_rate_count,0.03445831668470336,count
diastolic_bp_mean,0.03402088568863871,clinical
anion_gap_min,0.03352390214159959,clinical
symptom_dry_and_moist_rales,0.0324397445949901,clinical
bilirubin_min,0.031775662115743744,clinical
wbc_mean,0.031241771531375542,clinical
symptom_rale,0.030390533486883264,clinical
symptom_fever,0.030338789034004287,clinical
bilirubin_trend,0.028229030118739912,trend
diastolic_bp_max,0.02789506338223413,clinical
diastolic_bp_first,0.027884640029526238,clinical
symptom_diarrhea,0.027277368451273216,clinical
symptom_cool_extremities,0.026906986204127868,clinical
spo2_trend,0.026510024694493626,trend
heart_rate_trend_was_measured,0.02582590903827743,clinical
potassium_mean,0.025654463839164275,clinical
anc_max,0.025072798594837208,clinical
symptom_warm_extremities,0.0243927902643926,clinical
temperature_trend,0.023471787639655402,trend
fibrinogen_min,0.021890654286035982,clinical
symptom_anhelation,0.021868552592742653,clinical
symptom_edema,0.0217255654869346,clinical
shock_index,0.021625448765826095,clinical
temperature_first,0.02089315091701327,clinical
sodium_first,0.01982239640887171,clinical
map_max_was_measured,0.01960126899113785,clinical
diastolic_bp_max_was_measured,0.01960126899113785,clinical
spo2_max_was_measured,0.01951060737550782,clinical
fibrinogen_first,0.019461231327859006,clinical
symptom_abdominal_distension,0.019192416769999686,clinical
systolic_bp_max_was_measured,0.019080573154456555,clinical
ph_max,0.017634913112568516,clinical
alc_max,0.01758599779169022,clinical
alc_mean,0.016257686962324023,clinical
spo2_count,0.015862610489153463,count
creatinine_trend,0.01443127308406516,trend
symptom_abdominal_tenderness,0.014322158218550967,clinical
heart_rate_max,0.01420547840489465,clinical
anc_min,0.014129013247924423,clinical
fibrinogen_mean,0.0140814521799345,clinical
symptom_hemorrhage,0.014066423943609267,clinical
wbc_min,0.014050793968149827,clinical
symptom_moist_rale,0.01354142442952847,clinical
base_excess_max,0.013260569369021266,clinical
symptom_phlegm_sound,0.012877787014511548,clinical
symptom_headache,0.012877787014511524,clinical
spo2_first,0.012442413831572515,clinical
spo2_min,0.012368406444748384,clinical
los_hours,0.012321807100567317,clinical
symptom_dysphoria,0.012189159062065294,clinical
symptom_tenderness,0.012189159062065283,clinical
heart_rate_mean,0.011830464718434994,clinical
symptom_cough,0.011239273636400145,clinical
temperature_min,0.011213492283864878,clinical
map_count,0.01084560049291021,count
diastolic_bp_count,0.01084560049291021,count
systolic_bp_count,0.010602585879121006,count
ph_trend,0.008904896495615204,trend
glucose_min,0.008867453168605488,clinical
spo2_lab_max,0.008243647109253625,clinical
symptom_chest_tightness,0.0073029134059125105,clinical
symptom_arrhythmia,0.00730291340591246,clinical
anc_mean,0.007209566052816274,clinical
urine_output_per_hour,0.006807329491859804,fluid
fibrinogen_max,0.006778177454414279,clinical
symptom_swelling,0.006588643464848485,clinical
symptom_pharyngeal_red,0.00658864346484848,clinical
had_surgery_flag,0.006316862546874189,clinical
temperature_mean,0.006063571504188642,clinical
spo2_trend_was_measured,0.005877441179233181,clinical
sbp_abnormal_for_age,0.005832829001819249,clinical
symptom_vomiting,0.005634401384016958,clinical
pco2_first,0.004785555524998595,clinical
bilirubin_trend_was_measured,0.004684890717871195,clinical
symptom_rebound_tenderness,0.004656108193814174,clinical
symptom_erythra,0.0038755840243621716,clinical
symptom_twitching,0.0029227955008687585,clinical
anc_first,0.0026997285957503616,clinical
spo2_mean,0.0024268775491322445,clinical
potassium_first,0.002358097210688512,clinical
urine_output_total_ml,0.002293785776822211,fluid
symptom_listless,0.0015872142723143885,clinical
heart_rate_min,0.0010397471117066103,clinical
heart_rate_first,0.0009802006938293077,clinical
shock_index_was_measured,0.0009409759775896618,clinical
symptom_three_depressions_sign,0.00066207977942694,clinical
symptom_skin_jaundice,0.0006620797794268588,clinical
heart_rate_trend,0.0005676274296132678,trend
spo2_max,7.113097128698837e-05,clinical
